timeIndex,rho,rhoU,rhoE
1,0.001,0.00314353,0.107362,0.00331358
1,0.001,0.00314356,0.107364,0.00331361
1,0.001,0.00314358,0.107366,0.00331364
2,0.002,0.00208894,0.0850752,0.00212106
2,0.002,0.00208908,0.0850812,0.0021212
2,0.002,0.00208921,0.0850873,0.00212133
3,0.003,0.00195946,0.0790885,0.00195044
3,0.003,0.0019596,0.0790944,0.00195057
3,0.003,0.00195973,0.0791003,0.00195071
4,0.004,0.00193793,0.0770021,0.00192872
4,0.004,0.00193806,0.0770079,0.00192886
4,0.004,0.0019382,0.0770138,0.001929
5,0.005,0.00192263,0.0754489,0.00192021
5,0.005,0.00192277,0.0754547,0.00192035
5,0.005,0.0019239,0.0755008,0.00192149
6,0.006,0.00194101,0.0734208,0.00194525
6,0.006,0.00194116,0.0734263,0.0019454
6,0.006,0.00194312,0.0734984,0.00194739
7,0.007,0.0019949,0.0709856,0.00200303
7,0.007,0.00199506,0.0709909,0.00200318
7,0.007,0.00199988,0.0711528,0.00200809
8,0.008,0.00211657,0.071545,0.00212601
8,0.008,0.00211669,0.071549,0.00212613
8,0.008,0.00211682,0.071553,0.00212626
9,0.009,0.00211165,0.070136,0.00212018
9,0.009,0.00211177,0.0701402,0.00212031
9,0.009,0.00211191,0.0701443,0.00212044
10,0.01,0.00207303,0.068945,0.00208037
10,0.01,0.00207316,0.0689493,0.0020805
10,0.01,0.00207357,0.0689622,0.00208092
