# Time Dx Dy Dz magD
0.001 3.41409e-05 -8.7286e-06 7.87566e-20 3.5239e-05
0.002 6.29872e-05 -1.41103e-05 2.24141e-20 6.45484e-05
0.003 0.000102588 -1.98397e-05 1.75851e-19 0.000104489
0.004 0.000153527 -2.48154e-05 1.91924e-19 0.00015552
0.005 0.000214952 -2.77223e-05 1.02273e-19 0.000216733
0.006 0.000286107 -2.75605e-05 1.14809e-19 0.000287431
0.007 0.000366326 -2.42868e-05 8.99315e-20 0.00036713
0.008 0.00045499 -1.85699e-05 5.20339e-20 0.000455369
0.009 0.000551174 -1.13431e-05 9.17022e-20 0.000551291
0.01 0.00065367 -3.62754e-06 1.6443e-19 0.00065368
