timeIndex,pseudoIter,residual
1,7134,9.99969e-05
1,0,9.99776e-05
1,0,9.99505e-05
2,5067,9.99775e-05
2,0,9.9948e-05
2,0,9.99519e-05
3,5074,9.99915e-05
3,0,9.99548e-05
3,0,9.99633e-05
4,5049,9.99908e-05
4,0,9.99681e-05
4,0,9.99879e-05
5,5038,9.99955e-05
5,0,9.99925e-05
5,7,9.99727e-05
6,5025,9.99967e-05
6,0,9.99738e-05
6,12,9.96818e-05
7,5054,9.99883e-05
7,0,9.99667e-05
7,30,9.98622e-05
8,5652,9.99885e-05
8,0,9.99398e-05
8,0,9.97156e-05
9,5576,9.9979e-05
9,0,9.99324e-05
9,0,9.9829e-05
10,5471,9.99791e-05
10,0,9.99581e-05
10,2,9.99436e-05
