timeIndex,rho,rhoU,rhoE
1,1e-05,0.00141651,0.0046321,0.00279839
2,2e-05,0.00143876,0.00438378,0.00264673
3,3e-05,0.00146585,0.00416553,0.00251584
4,4e-05,0.00149583,0.0039732,0.00240243
5,5e-05,0.00152726,0.0038032,0.00230372
6,6e-05,0.00155913,0.00365246,0.00221736
7,7e-05,0.00159073,0.00351835,0.00214136
8,8e-05,0.00162157,0.00339861,0.00207408
9,9e-05,0.00165133,0.00329131,0.00201416
10,0.0001,0.00167982,0.00319482,0.00196045
11,0.00011,0.00170691,0.00310773,0.00191201
12,0.00012,0.00173256,0.00302883,0.00186809
13,0.00013,0.00175676,0.0029571,0.00182802
14,0.00014,0.00177952,0.00289167,0.00179129
15,0.00015,0.00180088,0.00283176,0.00175746
16,0.00016,0.0018209,0.00277673,0.00172615
17,0.00017,0.00183962,0.00272602,0.00169706
18,0.00018,0.00185713,0.00267913,0.00166993
19,0.00019,0.00187347,0.00263566,0.00164455
20,0.0002,0.00188872,0.00259522,0.00162072
21,0.00021,0.00190295,0.00255751,0.0015983
22,0.00022,0.00191621,0.00252224,0.00157714
23,0.00023,0.00192858,0.00248916,0.00155713
24,0.00024,0.00194009,0.00245807,0.00153816
25,0.00025,0.00195082,0.00242877,0.00152015
26,0.00026,0.00196081,0.00240109,0.00150301
27,0.00027,0.00197011,0.0023749,0.00148669
28,0.00028,0.00197877,0.00235005,0.0014711
29,0.00029,0.00198683,0.00232643,0.00145621
30,0.0003,0.00199434,0.00230394,0.00144196
31,0.00031,0.00200132,0.00228248,0.00142831
32,0.00032,0.00200782,0.00226198,0.00141522
33,0.00033,0.00201387,0.00224236,0.00140264
34,0.00034,0.00201949,0.00222355,0.00139056
35,0.00035,0.00202472,0.0022055,0.00137893
36,0.00036,0.00202959,0.00218815,0.00136773
37,0.00037,0.00203411,0.00217145,0.00135694
38,0.00038,0.00203832,0.00215536,0.00134652
39,0.00039,0.00204223,0.00213984,0.00133647
40,0.0004,0.00204586,0.00212485,0.00132676
41,0.00041,0.00204923,0.00211036,0.00131736
42,0.00042,0.00205236,0.00209634,0.00130828
43,0.00043,0.00205526,0.00208277,0.00129948
44,0.00044,0.00205796,0.00206961,0.00129095
45,0.00045,0.00206045,0.00205685,0.00128268
