# Time	Cd	Cl	Cm
0.001	0.00225685	-0.0194	-0.00756963
0.002	0.00217214	-0.0260597	-0.0079922
0.003	0.00220824	-0.0342165	-0.00918977
0.004	0.00228828	-0.0424615	-0.010246
0.005	0.00240102	-0.0507412	-0.011012
0.006	0.00254439	-0.0592656	-0.0116128
0.007	0.0027237	-0.0680512	-0.0120659
0.008	0.00294598	-0.0770952	-0.0123726
0.009	0.00321014	-0.0864048	-0.0125322
0.01	0.00351716	-0.0959462	-0.0125527
0.011	0.003869	-0.105733	-0.0124239
0.012	0.00426551	-0.115669	-0.0121783
0.013	0.00470587	-0.125768	-0.0117889
0.014	0.00520102	-0.136109	-0.0112313
0.015	0.00573723	-0.146488	-0.0105953
0.016	0.00632048	-0.156912	-0.00983213
0.017	0.00695984	-0.167398	-0.00901049
0.018	0.00763692	-0.177873	-0.00820078
0.019	0.00836107	-0.188272	-0.00733519
0.02	0.00911156	-0.198498	-0.00649605
0.021	0.00989011	-0.208675	-0.00565423
0.022	0.0106341	-0.218153	-0.00495742
0.023	0.0113543	-0.227174	-0.00441715
0.024	0.0120632	-0.236277	-0.00392021
0.025	0.0127114	-0.244999	-0.00356264
0.026	0.0132372	-0.252658	-0.00337647
0.027	0.0137103	-0.260613	-0.00321179
0.028	0.0140772	-0.2682	-0.00315871
0.029	0.01432	-0.275916	-0.00310391
0.03	0.0144335	-0.283646	-0.00308629
0.031	0.014494	-0.290901	-0.00315274
0.032	0.0145442	-0.29776	-0.00316943
0.033	0.0146566	-0.305233	-0.00311696
0.034	0.0149067	-0.31228	-0.00302625
0.035	0.0152565	-0.319111	-0.00283357
0.036	0.0156768	-0.325807	-0.00253972
0.037	0.01605	-0.331157	-0.00226321
0.038	0.0163591	-0.33595	-0.00198917
0.039	0.0166071	-0.34051	-0.00172566
0.04	0.0167767	-0.344757	-0.00148201
0.041	0.0168346	-0.347706	-0.00121709
0.042	0.0168641	-0.35099	-0.00103082
0.043	0.0168255	-0.35346	-0.00080635
0.044	0.0167467	-0.355787	-0.00055653
0.045	0.0166521	-0.357633	-0.000389394
0.046	0.0164951	-0.358732	-0.00012868
0.047	0.0162884	-0.359068	0.00023129
0.048	0.0160288	-0.358774	0.00071235
0.049	0.0157409	-0.358213	0.00119523
0.05	0.0154153	-0.356986	0.0017216
0.051	0.0150573	-0.355411	0.0022392
0.052	0.0146635	-0.35373	0.00272338
0.053	0.0142301	-0.35161	0.00324923
0.054	0.013754	-0.348715	0.00393175
0.055	0.0132538	-0.345547	0.00460153
0.056	0.0127329	-0.342169	0.00523619
0.057	0.012194	-0.338559	0.00582509
0.058	0.0116327	-0.33471	0.00633482
0.059	0.011044	-0.330563	0.006801
0.06	0.0104256	-0.32603	0.0072538
0.061	0.00978491	-0.32111	0.00765594
0.062	0.00912043	-0.315762	0.00799889
0.063	0.00843736	-0.31	0.00825733
0.064	0.00773827	-0.30377	0.00847736
0.065	0.00701226	-0.297012	0.0086151
0.066	0.00623137	-0.288882	0.00824885
0.067	0.0055052	-0.281059	0.00855089
0.068	0.00472826	-0.272009	0.00884165
0.069	0.00397794	-0.262486	0.00929868
0.07	0.0032532	-0.252518	0.00970966
0.071	0.0025558	-0.24219	0.0101809
0.072	0.00189366	-0.23165	0.0107463
0.073	0.00129887	-0.219239	0.0107827
0.074	0.000750327	-0.20796	0.0111939
0.075	0.000222821	-0.195538	0.0118057
0.076	-0.000230659	-0.183144	0.0123822
0.077	-0.000619239	-0.170736	0.0129488
0.078	-0.000919119	-0.157343	0.0132356
0.079	-0.001183	-0.143691	0.0135414
0.08	-0.00138971	-0.130418	0.0138677
0.081	-0.00150925	-0.116606	0.0139664
0.082	-0.00156135	-0.102241	0.0139184
0.083	-0.00158195	-0.0885412	0.0140069
0.084	-0.00151224	-0.0740116	0.013907
0.085	-0.0013871	-0.0593968	0.0137783
0.086	-0.00123659	-0.0458879	0.0137919
0.087	-0.000950158	-0.030486	0.0134483
0.088	-0.0006501	-0.0163312	0.0132152
0.089	-0.000230099	-0.00126934	0.0127038
0.09	0.000206459	0.0127709	0.0123249
0.091	0.000765733	0.027696	0.0116951
0.092	0.00130407	0.0408902	0.0112803
0.093	0.00198597	0.0556444	0.0106682
0.094	0.00269092	0.0697078	0.0100088
0.095	0.00345031	0.0831941	0.0092954
0.096	0.00427041	0.0968723	0.00854923
0.097	0.00507655	0.109517	0.00788022
0.098	0.00591658	0.122058	0.0072707
0.099	0.00677593	0.134359	0.0066802
0.1	0.00761699	0.146046	0.00615498
0.101	0.00844768	0.157406	0.00567955
0.102	0.00925451	0.16826	0.00525817
0.103	0.0100469	0.178999	0.00483604
0.104	0.0107973	0.189483	0.00441733
0.105	0.011455	0.199097	0.00408878
0.106	0.0120621	0.208698	0.00378818
0.107	0.0125913	0.218347	0.00351553
0.108	0.0129835	0.227519	0.00326712
0.109	0.0132386	0.236073	0.00307264
0.11	0.0133895	0.244654	0.00300551
0.111	0.013416	0.253696	0.00296263
0.112	0.0133902	0.262276	0.00287529
0.113	0.0134257	0.270969	0.00270321
0.114	0.0136588	0.279439	0.00249887
0.115	0.0140715	0.287724	0.00220191
0.116	0.0145784	0.295278	0.00183046
0.117	0.0149919	0.300816	0.00143676
0.118	0.015419	0.30662	0.00109727
0.119	0.0157288	0.311425	0.000826397
0.12	0.0159114	0.315686	0.00056309
0.121	0.0159512	0.319858	0.000343435
0.122	0.0158447	0.323035	0.000145251
0.123	0.0156461	0.325467	-6.22639e-05
0.124	0.0154102	0.327172	-0.000338564
0.125	0.0151541	0.329522	-0.000567661
0.126	0.01492	0.331016	-0.000860953
0.127	0.0146773	0.331714	-0.00125766
0.128	0.0144334	0.331895	-0.00167999
0.129	0.0141719	0.331854	-0.00208876
0.13	0.0138573	0.33098	-0.00262232
0.131	0.013503	0.329408	-0.0032212
0.132	0.0131253	0.327677	-0.00373534
0.133	0.012695	0.325527	-0.00427101
0.134	0.0122265	0.32298	-0.00480785
0.135	0.0117267	0.319956	-0.00538778
0.136	0.0111947	0.316431	-0.00604554
0.137	0.0106359	0.312575	-0.00671422
0.138	0.0100572	0.308435	-0.00735383
0.139	0.0094649	0.304046	-0.00792287
0.14	0.00885619	0.299338	-0.00842727
0.141	0.00823023	0.294246	-0.00888165
0.142	0.00758845	0.288735	-0.00926676
0.143	0.00693403	0.282785	-0.00954833
0.144	0.00625796	0.276249	-0.00976653
0.145	0.00555246	0.269035	-0.00992266
0.146	0.00485949	0.261306	-0.0100311
0.147	0.00415119	0.252806	-0.0102135
0.148	0.00344906	0.243826	-0.010542
0.149	0.0027776	0.234508	-0.0108567
0.15	0.00211732	0.224172	-0.0109159
0.151	0.00151241	0.21382	-0.0110094
0.152	0.000915554	0.202522	-0.0113014
0.153	0.000369153	0.19103	-0.0117507
0.154	-0.000113107	0.179711	-0.012246
0.155	-0.000517618	0.166958	-0.0123893
0.156	-0.000869723	0.154299	-0.0125982
0.157	-0.00117638	0.141452	-0.0129618
0.158	-0.00141517	0.128504	-0.013311
0.159	-0.0015604	0.114785	-0.0134505
0.16	-0.00165269	0.10106	-0.0136009
0.161	-0.00168971	0.0872892	-0.0137761
0.162	-0.00162296	0.072762	-0.0137358
0.163	-0.00150552	0.058489	-0.0136961
0.164	-0.00131381	0.0439669	-0.013559
0.165	-0.00105332	0.0294722	-0.0134247
0.166	-0.00077644	0.0160995	-0.0134173
0.167	-0.000341963	0.000365283	-0.0130599
0.168	8.84562e-05	-0.01344	-0.0127896
0.169	0.000667168	-0.0287919	-0.012178
0.17	0.00119805	-0.0417215	-0.0118029
0.171	0.00189619	-0.0567977	-0.0111787
0.172	0.00262751	-0.0712414	-0.0104388
0.173	0.00339021	-0.084664	-0.00968082
0.174	0.00422542	-0.0985053	-0.0089055
0.175	0.00507366	-0.111775	-0.00814467
0.176	0.00591892	-0.124249	-0.00748052
0.177	0.00680449	-0.13675	-0.00684281
0.178	0.00768747	-0.148907	-0.00624179
0.179	0.00854847	-0.160492	-0.00569032
0.18	0.00938183	-0.171562	-0.005213
0.181	0.010196	-0.182461	-0.00476821
0.182	0.010961	-0.193066	-0.00434955
0.183	0.0116265	-0.202791	-0.00404872
0.184	0.0122378	-0.212434	-0.00378764
0.185	0.0127646	-0.222304	-0.00355106
0.186	0.0131384	-0.23165	-0.00335385
0.187	0.0133654	-0.240401	-0.00321351
0.188	0.0134848	-0.249269	-0.00318667
0.189	0.0134795	-0.258655	-0.0031663
0.19	0.0134635	-0.267651	-0.00308562
0.191	0.0135744	-0.276772	-0.00289726
0.192	0.0139146	-0.285646	-0.0026703
0.193	0.0144248	-0.294212	-0.00235742
0.194	0.014985	-0.301838	-0.00198482
0.195	0.0154428	-0.307735	-0.00160679
0.196	0.0159147	-0.314266	-0.00129403
0.197	0.0162012	-0.319249	-0.00104156
0.198	0.0163557	-0.323932	-0.000829822
0.199	0.0163463	-0.328205	-0.000619875
0.2	0.0162431	-0.33152	-0.000484247
0.201	0.0160718	-0.334748	-0.000300543
0.202	0.0159016	-0.33775	-0.000103763
0.203	0.0157392	-0.339932	0.000189477
0.204	0.015575	-0.34155	0.000517284
0.205	0.0154076	-0.342719	0.000850975
0.206	0.0152022	-0.343447	0.00121965
0.207	0.0149307	-0.343085	0.0017304
0.208	0.0146279	-0.342575	0.00218296
0.209	0.0142754	-0.341721	0.00263336
0.21	0.0138822	-0.340276	0.00308416
0.211	0.0134406	-0.338208	0.00362781
0.212	0.0129535	-0.335824	0.00420869
0.213	0.0124409	-0.33278	0.0048671
0.214	0.0119133	-0.329648	0.00542112
0.215	0.0113505	-0.325708	0.00616811
0.216	0.0107677	-0.321566	0.00688696
0.217	0.0101753	-0.317236	0.00752556
0.218	0.00957125	-0.31267	0.00806523
0.219	0.00895105	-0.307802	0.00850423
0.22	0.00831217	-0.302539	0.00886395
0.221	0.00764611	-0.296713	0.00922708
0.222	0.00691586	-0.29019	0.00899401
0.223	0.00623373	-0.28336	0.00929444
0.224	0.00550953	-0.275766	0.00953148
0.225	0.00477187	-0.267573	0.0097315
0.226	0.00406396	-0.258954	0.00987411
0.227	0.00336156	-0.249816	0.0102231
0.228	0.00266979	-0.240197	0.0106813
0.229	0.00199622	-0.229014	0.0106611
0.23	0.00139339	-0.218795	0.0109545
0.231	0.000798121	-0.207284	0.0113608
0.232	0.00024584	-0.195404	0.0119486
0.233	-0.00023474	-0.183691	0.0125165
0.234	-0.000623734	-0.170465	0.0126804
0.235	-0.00096587	-0.15763	0.0129826
0.236	-0.00125982	-0.1444	0.0133993
0.237	-0.00148545	-0.131205	0.0137989
0.238	-0.00161563	-0.117239	0.0139745
0.239	-0.00169172	-0.103161	0.0141234
0.24	-0.00172303	-0.0896185	0.0143619
0.241	-0.00163381	-0.0746969	0.0142521
0.242	-0.00150068	-0.0601437	0.0141378
0.243	-0.00129241	-0.0454888	0.0138822
0.244	-0.00101783	-0.0309228	0.0136357
0.245	-0.000686403	-0.0161192	0.0133123
0.246	-0.000264084	-0.00138032	0.0129169
0.247	0.000148484	0.0116981	0.0126851
0.248	0.000723439	0.0273035	0.0121665
0.249	0.00132337	0.0418429	0.0115366
0.25	0.00200653	0.0561235	0.0107771
0.251	0.00273703	0.0701824	0.00998699
0.252	0.0034536	0.0830306	0.00935634
0.253	0.00429341	0.0971102	0.00861612
0.254	0.00513105	0.110248	0.00787542
0.255	0.00596192	0.122554	0.00721978
0.256	0.0068138	0.134713	0.00663749
0.257	0.00767102	0.146634	0.00606363
0.258	0.00850359	0.158018	0.00554351
0.259	0.00930394	0.168891	0.00509738
0.26	0.0100832	0.17955	0.00468571
