#Data at 0.000750_sec.txt				
#x	P	rho	T	u
0	506625	5.88415	300	0
0.01	506625	5.88415	300	0
0.02	506625	5.88415	300	0
0.03	506625	5.88415	300	0
0.04	506625	5.88415	300	0
0.05	506625	5.88415	300	0
0.06	506625	5.88415	300	0
0.07	506625	5.88415	300	0
0.08	506625	5.88415	300	0
0.09	506625	5.88415	300	0
0.1	506625	5.88415	300	0
0.11	506625	5.88415	300	0
0.12	506625	5.88415	300	0
0.13	506625	5.88415	300	0
0.14	506625	5.88415	300	0
0.15	506625	5.88415	300	0
0.16	506625	5.88415	300	0
0.17	506625	5.88415	300	0
0.18	506625	5.88415	300	0
0.19	506625	5.88415	300	0
0.2	506625	5.88415	300	0
0.21	506625	5.88415	300	0
0.22	506625	5.88415	300	0
0.23	506625	5.88415	300	0
0.24	505737	5.87678	299.85	0.435036
0.25	483503	5.69105	296.023	11.5461
0.26	462112	5.51005	292.22	22.6573
0.27	441537	5.33368	288.442	33.7684
0.28	421753	5.16185	284.689	44.8795
0.29	402733	4.99449	280.96	55.9906
0.3	384453	4.83149	277.256	67.1017
0.31	366890	4.67278	273.576	78.2128
0.32	350018	4.51827	269.921	89.3239
0.33	333816	4.36787	266.291	100.435
0.34	318261	4.2215	262.685	111.546
0.35	303332	4.07908	259.103	122.657
0.36	289006	3.94054	255.547	133.768
0.37	275265	3.80578	252.014	144.879
0.38	262088	3.67474	248.507	155.991
0.39	249455	3.54733	245.024	167.102
0.4	237347	3.42348	241.565	178.213
0.41	225747	3.30311	238.132	189.324
0.42	215607	3.19644	235.025	199.445
0.43	215607	3.19644	235.025	199.445
0.44	215607	3.19644	235.025	199.445
0.45	215607	3.19644	235.025	199.445
0.46	215607	3.19644	235.025	199.445
0.47	215607	3.19644	235.025	199.445
0.48	215607	3.19644	235.025	199.445
0.49	215607	3.19644	235.025	199.445
0.5	215607	3.19644	235.025	199.445
0.51	215607	3.19644	235.025	199.445
0.52	215607	3.19644	235.025	199.445
0.53	215607	3.19644	235.025	199.445
0.54	215607	3.19644	235.025	199.445
0.55	215607	3.19644	235.025	199.445
0.56	215607	3.19644	235.025	199.445
0.57	215607	3.19644	235.025	199.445
0.58	215607	3.19644	235.025	199.445
0.59	215607	3.19644	235.025	199.445
0.6	215607	3.19644	235.025	199.445
0.61	215607	3.19644	235.025	199.445
0.62	215607	3.19644	235.025	199.445
0.63	215607	3.19644	235.025	199.445
0.64	215607	3.19644	235.025	199.445
0.65	215607	1.99335	376.875	199.445
0.66	215607	1.99335	376.875	199.445
0.67	215607	1.99335	376.875	199.445
0.68	215607	1.99335	376.875	199.445
0.69	215607	1.99335	376.875	199.445
0.7	215607	1.99335	376.875	199.445
0.71	215607	1.99335	376.875	199.445
0.72	215607	1.99335	376.875	199.445
0.73	215607	1.99335	376.875	199.445
0.74	215607	1.99335	376.875	199.445
0.75	215607	1.99335	376.875	199.445
0.76	215607	1.99335	376.875	199.445
0.77	215607	1.99335	376.875	199.445
0.78	215607	1.99335	376.875	199.445
0.79	215607	1.99335	376.875	199.445
0.8	215607	1.99335	376.875	199.445
0.81	215607	1.99335	376.875	199.445
0.82	215607	1.99335	376.875	199.445
0.83	215607	1.99335	376.875	199.445
0.84	215607	1.99335	376.875	199.445
0.85	215607	1.99335	376.875	199.445
0.86	215607	1.99335	376.875	199.445
0.87	101325	1.17683	300	0
0.88	101325	1.17683	300	0
0.89	101325	1.17683	300	0
0.9	101325	1.17683	300	0
0.91	101325	1.17683	300	0
0.92	101325	1.17683	300	0
0.93	101325	1.17683	300	0
0.94	101325	1.17683	300	0
0.95	101325	1.17683	300	0
0.96	101325	1.17683	300	0
0.97	101325	1.17683	300	0
0.98	101325	1.17683	300	0
0.99	101325	1.17683	300	0
1	101325	1.17683	300	0
